doc_topic_prior,max_df,max_tf,min_df,min_tf,n_topics,topic_word_prior,score
0,0.5,0.5,561.0,2,2,7,0.014285714285714285,0.130582701074437
1,0.5,0.5,561.0,2,2,7,0.14285714285714285,0.2211037184050608
2,0.5,0.5,561.0,2,2,7,0.5,0.26412393048861144
3,0.5,0.5,561.0,2,10,7,0.014285714285714285,0.3090578994596962
4,0.5,0.5,561.0,2,10,7,0.14285714285714285,0.33264987371768096
5,0.5,0.5,561.0,2,10,7,0.5,0.44962084360000326
6,0.5,0.5,561.0,2,30,7,0.014285714285714285,0.2852185032478416
7,0.5,0.5,561.0,2,30,7,0.14285714285714285,0.3332073633248334
8,0.5,0.5,561.0,2,30,7,0.5,0.2839371734214775
9,0.5,0.5,561.0,5,2,7,0.014285714285714285,0.37618673954799026
10,0.5,0.5,561.0,5,2,7,0.14285714285714285,0.21972665398417132
11,0.5,0.5,561.0,5,2,7,0.5,0.35108824670286054
12,0.5,0.5,561.0,5,10,7,0.014285714285714285,0.27906725657735854
13,0.5,0.5,561.0,5,10,7,0.14285714285714285,0.33176893183968276
14,0.5,0.5,561.0,5,10,7,0.5,0.25498285530277054
15,0.5,0.5,561.0,5,30,7,0.014285714285714285,0.3435418654296087
16,0.5,0.5,561.0,5,30,7,0.14285714285714285,0.2753040283515103
17,0.5,0.5,561.0,5,30,7,0.5,0.3140002967745637
18,0.5,0.5,561.0,10,2,7,0.014285714285714285,0.1810265901740843
19,0.5,0.5,561.0,10,2,7,0.14285714285714285,0.30871344510802873
20,0.5,0.5,561.0,10,2,7,0.5,0.3613410141157466
21,0.5,0.5,561.0,10,10,7,0.014285714285714285,0.2844530206106387
22,0.5,0.5,561.0,10,10,7,0.14285714285714285,0.255847897771442
23,0.5,0.5,561.0,10,10,7,0.5,0.36534688087980355
24,0.5,0.5,561.0,10,30,7,0.014285714285714285,0.34317245966204235
25,0.5,0.5,561.0,10,30,7,0.14285714285714285,0.25287731760155646
26,0.5,0.5,561.0,10,30,7,0.5,0.3540665370878613
27,0.5,0.5,400.0,2,2,7,0.014285714285714285,0.19157131455665574
28,0.5,0.5,400.0,2,2,7,0.14285714285714285,0.2583136956341815
29,0.5,0.5,400.0,2,2,7,0.5,0.22371568120240823
30,0.5,0.5,400.0,2,10,7,0.014285714285714285,0.27539528861504053
31,0.5,0.5,400.0,2,10,7,0.14285714285714285,0.37089423741606986
32,0.5,0.5,400.0,2,10,7,0.5,0.3831034349879866
33,0.5,0.5,400.0,2,30,7,0.014285714285714285,0.3386008077326881
34,0.5,0.5,400.0,2,30,7,0.14285714285714285,0.2982215700095569
35,0.5,0.5,400.0,2,30,7,0.5,0.3638628733919717
36,0.5,0.5,400.0,5,2,7,0.014285714285714285,0.20792429826419995
37,0.5,0.5,400.0,5,2,7,0.14285714285714285,0.31574349938950724
38,0.5,0.5,400.0,5,2,7,0.5,0.36419653283182124
39,0.5,0.5,400.0,5,10,7,0.014285714285714285,0.3229943666604224
40,0.5,0.5,400.0,5,10,7,0.14285714285714285,0.3749585663594076
41,0.5,0.5,400.0,5,10,7,0.5,0.45870680189083324
42,0.5,0.5,400.0,5,30,7,0.014285714285714285,0.3780449282953443
43,0.5,0.5,400.0,5,30,7,0.14285714285714285,0.3342195035339629
44,0.5,0.5,400.0,5,30,7,0.5,0.31652724308203234
45,0.5,0.5,400.0,10,2,7,0.014285714285714285,0.31388372522533897
46,0.5,0.5,400.0,10,2,7,0.14285714285714285,0.22629435891110383
47,0.5,0.5,400.0,10,2,7,0.5,0.42703352516420007
48,0.5,0.5,400.0,10,10,7,0.014285714285714285,0.32642083832094326
49,0.5,0.5,400.0,10,10,7,0.14285714285714285,0.32335656424368275
50,0.5,0.5,400.0,10,10,7,0.5,0.41693702383249065
51,0.5,0.5,400.0,10,30,7,0.014285714285714285,0.3000646015167999
52,0.5,0.5,400.0,10,30,7,0.14285714285714285,0.2995336321918973
53,0.5,0.5,400.0,10,30,7,0.5,0.3270493405711724
54,0.5,0.95,561.0,2,2,7,0.014285714285714285,0.15265306876587056
55,0.5,0.95,561.0,2,2,7,0.14285714285714285,0.28692234303423747
56,0.5,0.95,561.0,2,2,7,0.5,0.3799561094828564
57,0.5,0.95,561.0,2,10,7,0.014285714285714285,0.3282992813048197
58,0.5,0.95,561.0,2,10,7,0.14285714285714285,0.3349721954105692
59,0.5,0.95,561.0,2,10,7,0.5,0.30806062879795465
60,0.5,0.95,561.0,2,30,7,0.014285714285714285,0.2910093330645429
61,0.5,0.95,561.0,2,30,7,0.14285714285714285,0.3465386473252714
62,0.5,0.95,561.0,2,30,7,0.5,0.37374316980508765
63,0.5,0.95,561.0,5,2,7,0.014285714285714285,0.22381014669400445
64,0.5,0.95,561.0,5,2,7,0.14285714285714285,0.21160872570760744
65,0.5,0.95,561.0,5,2,7,0.5,0.3983170938708688
66,0.5,0.95,561.0,5,10,7,0.014285714285714285,0.265965658513278
67,0.5,0.95,561.0,5,10,7,0.14285714285714285,0.2605800573373368
68,0.5,0.95,561.0,5,10,7,0.5,0.2955765157336566
69,0.5,0.95,561.0,5,30,7,0.014285714285714285,0.3584439844809672
70,0.5,0.95,561.0,5,30,7,0.14285714285714285,0.2948099907793002
71,0.5,0.95,561.0,5,30,7,0.5,0.316862087438203
72,0.5,0.95,561.0,10,2,7,0.014285714285714285,0.3138723293303325
73,0.5,0.95,561.0,10,2,7,0.14285714285714285,0.3048981773403882
74,0.5,0.95,561.0,10,2,7,0.5,0.3173423879657796
75,0.5,0.95,561.0,10,10,7,0.014285714285714285,0.33003650115108163
76,0.5,0.95,561.0,10,10,7,0.14285714285714285,0.26144669305262713
77,0.5,0.95,561.0,10,10,7,0.5,0.3527351374401914
78,0.5,0.95,561.0,10,30,7,0.014285714285714285,0.29236278958584705
79,0.5,0.95,561.0,10,30,7,0.14285714285714285,0.3372062444665171
80,0.5,0.95,561.0,10,30,7,0.5,0.2758632945424323
81,0.5,0.95,400.0,2,2,7,0.014285714285714285,0.27938397595349734
82,0.5,0.95,400.0,2,2,7,0.14285714285714285,0.3266926259073375
83,0.5,0.95,400.0,2,2,7,0.5,0.3009047772940004
84,0.5,0.95,400.0,2,10,7,0.014285714285714285,0.30805726091675417
85,0.5,0.95,400.0,2,10,7,0.14285714285714285,0.2687536072848569
86,0.5,0.95,400.0,2,10,7,0.5,0.25773672680988613
87,0.5,0.95,400.0,2,30,7,0.014285714285714285,0.37170157702695955
88,0.5,0.95,400.0,2,30,7,0.14285714285714285,0.2667622755448899
89,0.5,0.95,400.0,2,30,7,0.5,0.29752160446378234
90,0.5,0.95,400.0,5,2,7,0.014285714285714285,0.307508221098305
91,0.5,0.95,400.0,5,2,7,0.14285714285714285,0.2856032421801456
92,0.5,0.95,400.0,5,2,7,0.5,0.39779243872788955
93,0.5,0.95,400.0,5,10,7,0.014285714285714285,0.2244263393045702
94,0.5,0.95,400.0,5,10,7,0.14285714285714285,0.3418820849842753
95,0.5,0.95,400.0,5,10,7,0.5,0.35231866426932396
96,0.5,0.95,400.0,5,30,7,0.014285714285714285,0.29970873276621623
97,0.5,0.95,400.0,5,30,7,0.14285714285714285,0.35448995009988526
98,0.5,0.95,400.0,5,30,7,0.5,0.3822863995531773
99,0.5,0.95,400.0,10,2,7,0.014285714285714285,0.31873767921643775
100,0.5,0.95,400.0,10,2,7,0.14285714285714285,0.25108219212449423
101,0.5,0.95,400.0,10,2,7,0.5,0.3080277235076381
102,0.5,0.95,400.0,10,10,7,0.014285714285714285,0.23013965034705763
103,0.5,0.95,400.0,10,10,7,0.14285714285714285,0.2984538570273145
104,0.5,0.95,400.0,10,10,7,0.5,0.29675360011089436
105,0.5,0.95,400.0,10,30,7,0.014285714285714285,0.34561618185772114
106,0.5,0.95,400.0,10,30,7,0.14285714285714285,0.27958283646524545
107,0.5,0.95,400.0,10,30,7,0.5,0.39259679324711355
108,0.14285714285714285,0.5,561.0,2,2,7,0.014285714285714285,0.11149683093631022
109,0.14285714285714285,0.5,561.0,2,2,7,0.14285714285714285,0.25137142434558696
110,0.14285714285714285,0.5,561.0,2,2,7,0.5,0.28313821733418437
111,0.14285714285714285,0.5,561.0,2,10,7,0.014285714285714285,0.2615968761751007
112,0.14285714285714285,0.5,561.0,2,10,7,0.14285714285714285,0.34007105583037534
113,0.14285714285714285,0.5,561.0,2,10,7,0.5,0.3885708910428491
114,0.14285714285714285,0.5,561.0,2,30,7,0.014285714285714285,0.2578699452642213
115,0.14285714285714285,0.5,561.0,2,30,7,0.14285714285714285,0.16883190753344798
116,0.14285714285714285,0.5,561.0,2,30,7,0.5,0.36256755582005024
117,0.14285714285714285,0.5,561.0,5,2,7,0.014285714285714285,0.21291126252589443
118,0.14285714285714285,0.5,561.0,5,2,7,0.14285714285714285,0.2682469543940937
119,0.14285714285714285,0.5,561.0,5,2,7,0.5,0.360604881568621
120,0.14285714285714285,0.5,561.0,5,10,7,0.014285714285714285,0.32609129807244636
121,0.14285714285714285,0.5,561.0,5,10,7,0.14285714285714285,0.23578586102028828
122,0.14285714285714285,0.5,561.0,5,10,7,0.5,0.29466809205634104
123,0.14285714285714285,0.5,561.0,5,30,7,0.014285714285714285,0.2523368570554258
124,0.14285714285714285,0.5,561.0,5,30,7,0.14285714285714285,0.337989750300159
125,0.14285714285714285,0.5,561.0,5,30,7,0.5,0.28471198925511526
126,0.14285714285714285,0.5,561.0,10,2,7,0.014285714285714285,0.23644235737954908
127,0.14285714285714285,0.5,561.0,10,2,7,0.14285714285714285,0.2914669713959432
128,0.14285714285714285,0.5,561.0,10,2,7,0.5,0.3565322061698225
129,0.14285714285714285,0.5,561.0,10,10,7,0.014285714285714285,0.19636618524494023
130,0.14285714285714285,0.5,561.0,10,10,7,0.14285714285714285,0.26113361518492223
131,0.14285714285714285,0.5,561.0,10,10,7,0.5,0.26874071020596146
132,0.14285714285714285,0.5,561.0,10,30,7,0.014285714285714285,0.2313231306463505
133,0.14285714285714285,0.5,561.0,10,30,7,0.14285714285714285,0.2442499999309696
134,0.14285714285714285,0.5,561.0,10,30,7,0.5,0.3153776982768137
135,0.14285714285714285,0.5,400.0,2,2,7,0.014285714285714285,0.2739323405608382
136,0.14285714285714285,0.5,400.0,2,2,7,0.14285714285714285,0.1587477064179665
137,0.14285714285714285,0.5,400.0,2,2,7,0.5,0.17569516147943548
138,0.14285714285714285,0.5,400.0,2,10,7,0.014285714285714285,0.2437082856966426
139,0.14285714285714285,0.5,400.0,2,10,7,0.14285714285714285,0.2287575147666768
140,0.14285714285714285,0.5,400.0,2,10,7,0.5,0.2102979888925482
141,0.14285714285714285,0.5,400.0,2,30,7,0.014285714285714285,0.321281558593891
142,0.14285714285714285,0.5,400.0,2,30,7,0.14285714285714285,0.24311383940460665
143,0.14285714285714285,0.5,400.0,2,30,7,0.5,0.37222718525971676
144,0.14285714285714285,0.5,400.0,5,2,7,0.014285714285714285,0.23842159225997714
145,0.14285714285714285,0.5,400.0,5,2,7,0.14285714285714285,0.3599705934933798
146,0.14285714285714285,0.5,400.0,5,2,7,0.5,0.19208876299875424
147,0.14285714285714285,0.5,400.0,5,10,7,0.014285714285714285,0.24391272786678264
148,0.14285714285714285,0.5,400.0,5,10,7,0.14285714285714285,0.34486353737024406
149,0.14285714285714285,0.5,400.0,5,10,7,0.5,0.3271538853012972
150,0.14285714285714285,0.5,400.0,5,30,7,0.014285714285714285,0.29463024849828984
151,0.14285714285714285,0.5,400.0,5,30,7,0.14285714285714285,0.20709092380442556
152,0.14285714285714285,0.5,400.0,5,30,7,0.5,0.31019187401181775
153,0.14285714285714285,0.5,400.0,10,2,7,0.014285714285714285,0.23817549824295686
154,0.14285714285714285,0.5,400.0,10,2,7,0.14285714285714285,0.21369854142804645
155,0.14285714285714285,0.5,400.0,10,2,7,0.5,0.28665940056663786
156,0.14285714285714285,0.5,400.0,10,10,7,0.014285714285714285,0.22437939251115938
157,0.14285714285714285,0.5,400.0,10,10,7,0.14285714285714285,0.20544281363421474
158,0.14285714285714285,0.5,400.0,10,10,7,0.5,0.3169396988778914
159,0.14285714285714285,0.5,400.0,10,30,7,0.014285714285714285,0.2097054340677677
160,0.14285714285714285,0.5,400.0,10,30,7,0.14285714285714285,0.28786836003912153
161,0.14285714285714285,0.5,400.0,10,30,7,0.5,0.30719186415835
162,0.14285714285714285,0.95,561.0,2,2,7,0.014285714285714285,0.19847550858100096
163,0.14285714285714285,0.95,561.0,2,2,7,0.14285714285714285,0.18422267411032184
164,0.14285714285714285,0.95,561.0,2,2,7,0.5,0.1871846263237034
165,0.14285714285714285,0.95,561.0,2,10,7,0.014285714285714285,0.27971750586649535
166,0.14285714285714285,0.95,561.0,2,10,7,0.14285714285714285,0.2150250515425603
167,0.14285714285714285,0.95,561.0,2,10,7,0.5,0.39727205438823604
168,0.14285714285714285,0.95,561.0,2,30,7,0.014285714285714285,0.2811662520437295
169,0.14285714285714285,0.95,561.0,2,30,7,0.14285714285714285,0.26527386657250296
170,0.14285714285714285,0.95,561.0,2,30,7,0.5,0.34143784305586233
171,0.14285714285714285,0.95,561.0,5,2,7,0.014285714285714285,0.15758311843473063
172,0.14285714285714285,0.95,561.0,5,2,7,0.14285714285714285,0.3372608374824036
173,0.14285714285714285,0.95,561.0,5,2,7,0.5,0.26690930489891734
174,0.14285714285714285,0.95,561.0,5,10,7,0.014285714285714285,0.3531877044218152
175,0.14285714285714285,0.95,561.0,5,10,7,0.14285714285714285,0.3102613972604163
176,0.14285714285714285,0.95,561.0,5,10,7,0.5,0.34216620408754195
177,0.14285714285714285,0.95,561.0,5,30,7,0.014285714285714285,0.2525761374098399
178,0.14285714285714285,0.95,561.0,5,30,7,0.14285714285714285,0.21300906652906385
179,0.14285714285714285,0.95,561.0,5,30,7,0.5,0.30006868626789773
180,0.14285714285714285,0.95,561.0,10,2,7,0.014285714285714285,0.2791486807368378
181,0.14285714285714285,0.95,561.0,10,2,7,0.14285714285714285,0.2729269363219622
182,0.14285714285714285,0.95,561.0,10,2,7,0.5,0.36549279180448874
183,0.14285714285714285,0.95,561.0,10,10,7,0.014285714285714285,0.2796412189823208
184,0.14285714285714285,0.95,561.0,10,10,7,0.14285714285714285,0.2540938926058455
185,0.14285714285714285,0.95,561.0,10,10,7,0.5,0.3362819435054641
186,0.14285714285714285,0.95,561.0,10,30,7,0.014285714285714285,0.3083817294854483
187,0.14285714285714285,0.95,561.0,10,30,7,0.14285714285714285,0.225705852010747
188,0.14285714285714285,0.95,561.0,10,30,7,0.5,0.3498571410717681
189,0.14285714285714285,0.95,400.0,2,2,7,0.014285714285714285,0.13639239831929637
190,0.14285714285714285,0.95,400.0,2,2,7,0.14285714285714285,0.1403553580498721
191,0.14285714285714285,0.95,400.0,2,2,7,0.5,0.21100754275020778
192,0.14285714285714285,0.95,400.0,2,10,7,0.014285714285714285,0.22737671147371855
193,0.14285714285714285,0.95,400.0,2,10,7,0.14285714285714285,0.25875569032878704
194,0.14285714285714285,0.95,400.0,2,10,7,0.5,0.33071688515229414
195,0.14285714285714285,0.95,400.0,2,30,7,0.014285714285714285,0.2696313557839959
196,0.14285714285714285,0.95,400.0,2,30,7,0.14285714285714285,0.2695537375959533
197,0.14285714285714285,0.95,400.0,2,30,7,0.5,0.3165655844130678
198,0.14285714285714285,0.95,400.0,5,2,7,0.014285714285714285,0.21111613389825526
199,0.14285714285714285,0.95,400.0,5,2,7,0.14285714285714285,0.3868613362273581
200,0.14285714285714285,0.95,400.0,5,2,7,0.5,0.3051848523385945
201,0.14285714285714285,0.95,400.0,5,10,7,0.014285714285714285,0.24829308956562904
202,0.14285714285714285,0.95,400.0,5,10,7,0.14285714285714285,0.30787911766067316
203,0.14285714285714285,0.95,400.0,5,10,7,0.5,0.3206246127583473
204,0.14285714285714285,0.95,400.0,5,30,7,0.014285714285714285,0.25900489053867626
205,0.14285714285714285,0.95,400.0,5,30,7,0.14285714285714285,0.22099472340233858
206,0.14285714285714285,0.95,400.0,5,30,7,0.5,0.33753103627291037
207,0.14285714285714285,0.95,400.0,10,2,7,0.014285714285714285,0.1629869431775177
208,0.14285714285714285,0.95,400.0,10,2,7,0.14285714285714285,0.2775569173095168
209,0.14285714285714285,0.95,400.0,10,2,7,0.5,0.2636623447975292
210,0.14285714285714285,0.95,400.0,10,10,7,0.014285714285714285,0.2362360019248542
211,0.14285714285714285,0.95,400.0,10,10,7,0.14285714285714285,0.27416255199702133
212,0.14285714285714285,0.95,400.0,10,10,7,0.5,0.3083940917357432
213,0.14285714285714285,0.95,400.0,10,30,7,0.014285714285714285,0.33374200152359523
214,0.14285714285714285,0.95,400.0,10,30,7,0.14285714285714285,0.28693875965871396
215,0.14285714285714285,0.95,400.0,10,30,7,0.5,0.4483239373175525
